Anne Amie Vineyards,6580 Northeast Mineral Springs Road Carlton OR 97111
A-non-ah-mus Wines,No address given.
Anon Wines,No address given.
Antelope Valley Winery,42041 20th Street West Lancaster CA 93534
Anthem Winery,No address given.
Anthony August,No address given.
Anthony Nappa Wines,2885 Peconic Lane Peconic NY 11958
Anthony Road Wine Company,1020 Anthony Road Penn Yan NY 14527
Antica Napa Valley,3700 Soda Canyon Rd Napa CA 94558
Antiquum Farm,No address given.
Anyela's Vineyard,2433 West Lake Road Skaneateles Syracuse NY 13152
Apriori Cellar,1432 Main Street St Helena CA 94574
Apsara Cellars,1170 Tubbs Lane Calistoga CA 94515
Aramenta Cellars,17979 NE Lewis Rogers Lane Newberg OR 97132
Aratas Wine,1221 Duhig Road Napa CA 94559
Arbios and Praxis Cellars,561 Mission Boulevard Santa Rosa CA 95409
Arbor Bench Vineyard,5869 Dry Creek Road Healdsburg CA 95448
Arbor Bench Vineyards,No address given.
ArborBrook Vineyards,17770 Northeast Calkins Lane Newberg OR 97132
Arbor Crest Wine Cellars,4705 North Fruit Hill Road Spokane WA 99217
Arbor Hill,6461 Route 64 Naples NY 14512
Arcadian Winery,1515 E. Chestnut Avenue Suite B Lompoc CA 93436
Arcane Cellars,22350 Magness Road Salem OR 97304
Archery Summit Winery,18599 NE Archery Summit Road Dayton OR 97114
Archeus Wines,No address given.
Archium Cellars,No address given.
Arcudi Wines,PO Box 10411 Napa CA 94581
Ardiri Winery and Vineyards,35040 SW Unger Rd Cornelius Beaverton OR 97113
Ardon Creek Vineyard and Winery,2391 Independence Avenue Letts IA 52754
Argot Wines,5445 Sonoma Mountain Road Santa Rosa CA 95404
Argyle Winery,691 Highway 99W Dundee OR 97115
Ariel,Suite C 860 Napa Valley Corporate Way Napa CA 94558
Aril Wines,No address given.
Arizona Hops and Vines,3450 Highway 82 Sonoita AZ 85637
Armanino Family Cellars,706 Escalona Drive Capitola CA 95010
Armstrong Family Winery,19151 144th Avenue NE Suite I Woodinville WA 98072
Arndt Cellars,No address given.
Arns Winery,601 Mund Road St Helena CA 94574
Array Cellars,No address given.
Arrington Vineyards,6211 Patton Road Arrington TN 37014
Arrowhead Mountain Vineyard,2352 Thornsberry Road Sonoma CA 95476
Arrowhead Spring Vineyards,4746 Town Line Road Lockport NY 14094
Arrowood Vineyards & Winery,14347 Sonoma Highway Glen Ellen CA 95442
Artesa Vineyards & Winery,1345 Henry Road Napa CA 94559
Art Farm Wine,1370 Trancas Napa CA 94558
Arthur Earl Winery,2922 Grand Avenue Los Olivos CA 93441
Artisinal Wine Cellars,14000 NE Quarry Road Newberg OR 97132
Artiste,Studio E 2948 Grand Avenue Los Olivos CA 93441
Ascension Cellars,1300 Pioneer Street Suite D Brea CA 92821
Ashan Cellars,19501 144th Avenue NE Woodinville WA 98072
Ashton Vineyards,12000 Henno Road Glen Ellen CA 95442
Asuncion Ridge Vineyards,725 12th Street Paso Robles CA 93446
A to Z Wines,PO Box 489 Dundee OR 97115
Attune Wines,PO Box 140 Sonoma CA 95476
Atwater Estate Vineyards,5055 State Route 414 Burdett NY 14818
Aubichon Cellars,1326 N Highway 99W Dundee OR 97115
Au Bon Climat,4665 Santa Maria Mesa Road Santa Maria CA 93454
AuburnJames Winery,Suite 1 321 Hartz Avenue Danville CA 94526
Auclair Winery,18654 142nd Avenue NE Woodinville WA 98072
August Briggs Winery,333 Silverado Trail Calistoga CA 94515
August Cellars,14000 NE Quarry Road Newberg OR 97132
August Hill Winery,106 Mill Street Utica IL 61373
August Ridge,8790 E. Highway 41 Creston CA 93432
Aum Wine Cellars,PO Box 774 Napa CA 94559
Aurora Cellars,7788 East Horn Road Lake Leelanau MI 49653
Au Sommet Winery,Suite 100 1040 Main Street Napa CA 94559
Austin Hope Winery,1585 Live Oak Road Paso Robles CA 93446
Authentique Wine Cellars,PO Box 425 Amity OR 97101
Autonom Wines,PO Box 3077 Orcutt CA 93457
Autumn Hill Vineyards,301 River Drive Stanardsville VA 22973
Avanguardia Wines,13028 Jones Bar Rd Nevada City CA 95959
Avennia,19255 Woodinville-Snohomish Rd NE Suite 1 Woodinville WA 98072
Avenue Wine Company,1085 4th Avenue Napa CA 94559
Aver Family Vineyards,2900 Soma Way Gilroy CA 95020
Avinodos Wines,902 Enterprise Way Suite P Napa CA 94558
AXR Winery,No address given.
Ayoub Vineyard,9650 NE Keyes Lane Dundee OR 97115
Ayrael Vieux Winery,PO Box 553 Murphys CA 95247
Azur Wines,2537 Main Street Napa CA 94558
Babcock Vineyards,5175 East Highway 246 Lompoc CA 93436
Bacigalupi Vineyards,4353 Westside Road Healdsburg CA 95448
Bacio Divino Cellars,1160 Oak Knoll Road Napa CA 94573
Backstage Winery,1040 Court Street San Rafael CA 94901
Baehner Fournier Vineyards,2840 Montecielo Road Santa Ynez CA 93460
Baer Winery,19501 - 144th Avenue Northeast Suite F-100 Woodinville WA 98072
Bagley's Poplar Ridge,9782 Route 414 Hector NY 14841
Baileyana Winery,5828 Orcutt Road San Luis Obispo CA 93401
Bailiwick Wines,Suite 470 21684 8th Street East Sonoma CA 95476
Baily Vineyard & Winery,33440 La Serena Temecula CA 92592
Bainbridge Island Vineyards & Winery,8989 Day Road East Bainbridge Island WA 98110
Baiocchi Wines & Vineyards,82 Main Street Sutter Creek CA 95684
Baiting Hollow Farm Vineyard,2114 Sound Avenue Baiting Hollow Calverton NY 11933
Baker Lane Vineyards,Suite A 2430 5th Street Berkeley CA 94710
Balboa Winery,4169 Pepper Bridge Rd Walla Walla Washington 99362
Baldacci Family Vineyards,6236 Silverado Trail Napa CA 94558
Baldwin Vineyards,176 Hardenburg Road Pine Bush NY 12566
Balic Winery,6623 Harding Highway Mays Landing NJ 08330
Balistreri Vineyards,1946 East 66th Avenue Denver CO 80229
Ballentine Vineyards,2820 St Helena Highway St Helena CA 94574
Balletto Vineyards,5700 Occidental Road Santa Rosa CA 95401
Balo Vineyards,9001 Highway 128 Philo CA 95466
Baltimore Bend Vineyard,27150 Highway 24 Waverly MO 64096
Balverne Wines,10810 Hillview Road Windsor CA 95492
Banknote Wine Company,PO Box 2535 Napa CA 94558
Banshee Wines,325 Center Street Healdsburg CA 95448
Barber Cellars,PO Box 750272 Petaluma CA 94975
Barbieri Wine Company,Suite 524 399 Business Park Crescent Windsor CA 95492
Bargetto Winery,3535 N. Main Street Soquel CA 95073
Barking Frog Winery,128 W Main Street Carlton OR 97111
Barking Rocks Winery,1919 Allen Court Granbury TX 76048
Barlow Vineyards,4411 Silverado Trail Calistoga CA 94515
Barnard Griffin Winery,878 Tulip Lane Richland WA 99352
Barnett Vineyards,4070 Spring Mountain Road St Helena CA 94574
Barnstormer Winery,4184 NY-14 Rock Stream NY 14878
Baroness Cellars,939 Front Street Leavenworth WA 98826
Barons Winery,11 N 2nd Ave Walla Walla WA 99362
Barra of Mendocino,7051 N. State Street Redwood Valley CA 95470
Barrel & Ink,No address given.
Barrel Oak Winery,3623 Grove Lane Delaplane VA 20144
Barren Ridge Vineyards,984 Barren Ridge Road Fishersville VA 22939
Barr Estate Winery,6944 Union Road Paso Robles CA 93446
Barrili Cellars,608 W 2nd Ave Spokane WA 99201
Barrington Cellars,2690 Gray Road Penn Yan NY 14527
Barrister Winery,1213 West Railroad Avenue Spokane WA 99201
Barron Cooper Wines,8 Digital Dr 250 Novato CA 94949
Barry Family Cellars,3821 Main Street Burdett NY 14818
Barterra Winery,643 Main Street Half Moon Bay CA 94019
Bartholomew Park Winery,1000 Vineyard Lane Sonoma CA 95476
Bartholomew Winery,3100 Airport Way S Seattle WA 98134
Bartolai Winery,Cnr. Route 92 & Coolidge Avenue Harding PA 18643
Barton Family Wines & Grey Wolf Cellars,2174 Highway 46 West Paso Robles CA 93446
Basalt Cellars,906 Port Drive Clarkston WA 99403
Basel Cellars Estate Winery,2901 Old Milton Highway Walla Walla WA 99362
Bassetti Vineyards,1191 North Green Valley Road Cambria CA 93428
Battaglini Estate Winery,2948 Piner Road Santa Rosa CA 95401
Baxter's Vineyards & Winery,2010 E. Parley Street Nauvoo IL 62354
Baxter Winery,8660 Highway 128 Philo CA 95466
B Cellars Vineyards and Winery,703 Oakville Cross Rd Napa CA 94558
Beak & Skiff,4472 Cherry Valley Turnpike La Fayette NY 13084
Beans Creek Winery,426 Ragsdale Road Manchester TN 37355
Bear Creek Winery and Lodging,60203 Bear Creek Drive Homer AK 99603
Bear Pond Winery,2515 State Highway 28 Oneonta NY 13820
Bear River Winery,2751 Combie Road Meadow Vista CA 95722
Beauregard Vineyards,10 Pine Flat Road Bonny Doon CA 95060
Beaux Freres,15155 NE North Valley Road Newberg OR 97132
Beaver Creek Vineyards,22000 Highway 29 Middleton CA 95461
Bechard Vineyard & Winery,4244 Rooster Court Somerset CA 95684
Becker Farms & Vizcarra Vineyards,3760 Quaker Road Buffalo NY 14067
Becker Vineyards,464 Becker Farms Road Stonewall TX 78671
Beckham Estate Vineyard,30790 SW Heater Road Sherwood OR 97140
Bedarra Vineyards,440 W. North St Healdsburg CA 95448
Bedell Cellars,36225 Main Road Cutchogue NY 11935
Bedford Winery,448 Bell Street Los Alamos CA 93440
Bee d'Vine,901 Mission Street Suite 105 San Francisco CA 94103
BeeHaven Beverage,No address given.
Belden Barns Estate,5561 Sonoma Mountain Road Santa Rosa CA 95404
BellaGrace Vineyards,22715 Upton Road Plymouth CA 95669
Bella Luna Winery,1850 Templeton Road Templeton CA 93465
Bella Piazza Winery,19900 Shenandoah School Road Plymouth CA 95669
Bellaterra Ranch & Winery,No address given.
Bella Vida Vineyard,9380 NE Worden Hill Road Dundee OR 97115
Bella Vineyards and Wine Caves,9711 West Dry Creek Road Healdsburg CA 95448
Bella Vista Ranch,3101 Mt Sharp Road Wimberley TX 78676
Belle Fiore,955 D Indian Memorial Road Ashland OR 97520
Belle Glos,PO Box 660 Rutherford CA 94573
Belle Joli Winery,3951 Vanocker Canyou Rd Sturgis SD 57785
Belle Marie Winery,26312 Mesa Rock Road Escondido CA 92026
Belle Meade Plantation,5025 Harding Pike Nashville TN 37205
Belle Pente,12470 Northeast Rowland Road Carlton OR 97111
Bello Family Vineyards,8424 St Helena Hwy Napa CA 94558
Bell Springs Winery,3700 Bell Springs Road Dripping Springs TX 78620
Bells Up Winery,27895 Northeast Bell Road Newberg OR 97132
Bellview Winery,160 Atlantic Street Landisville NJ 08362
Bellwether Hard Cider,9070 Route 89 Trumansburg NY 14886
Bellwether Wine Cellars,9070 State Route 89 Trumansburg NY 14886
Bell Wine Cellars,6200 Washington Street Yountville CA 94599
Beltane Ranch Vineyards,11775 Sonoma Highway Glen Ellen CA 95442
Bel Vino Winery,33515 Rancho California Road Temecula CA 92591
Bending Branch Winery,142 Lindner Branch Trail Comfort TX 78013
Benessere Vineyards,1010 Big Tree Road St Helena CA 94574
Benmarl Vineyards & Winery,156 Highland Avenue Marlboro NY 12542
Bennett Lane Winery,3340 Highway 128 Calistoga CA 94515
Benovia,3339 Hartman Road Santa Rosa CA 95401
Benson Vineyards Estate Winery,754 Winesap Avenue Manson WA 98831
Bent Creek Winery,5455 Greenville Road Livermore CA 94550
Bent Metal Winery,14364 McCourtney Road Grass Valley CA 95949
Benziger Family Winery,1883 London Ranch Road Glen Ellen CA 95442
Beran Wines,P.O. Box 660 Rutherford CA 94573
Bergevin Lane Vineyards,1215 W. Poplar Street Walla Walla WA 99362
Berghold Estate Winery,17343 North Cherry Road Lodi CA 95240
Bergstrom Wines,18405 NE Calkins Lane Newberg OR 97132
Berkshire Mountain Distillers,356 S Main Street Sheffield MA 01257
Bernardus Winery and Vineyard,5 West Carmel Valley Road Carmel Valley CA 93924
Bernat Wines,2879 Grand Avenue Los Olivos CA 93441
Bernhardt Winery,9043 County Road 204 Plantersville TX 77363
Berryessa Gap Vineyards,27260 Highway 128 Winters CA 95694
Bertapelle Cellars,1160 Felta Road Healdsburg CA 95448
Bethany Vineyard & Winery,4115 NE 259 Street Ridgefield WA 98642
Bethel Heights Vineyard,6060 Bethel Heights Road NW Salem OR 97304
Bet the Farm,381 Main Street Aurora NY 13026
Betwixt Wine,Suite K 540 Barneveld Avenue San Francisco CA 94124
Bevan Cellars,3900 Matanzas Creek Lane Santa Rosa CA 95404
B & E Vineyard,10000 Creston Road Paso Robles CA 93446
Bianchi Vineyards,3333 West Coast Hwy. Suite 400 Newport Beach CA 92663
Biddle Ranch Vineyard,6985 Ontario Road San Luis Obispo CA 93405
Big Basin Vineyards,830 Memory Lane Boulder Creek CA 95006
Big Cork Vineyards,4236 Main Street Rohrersville MD 21779
Big Dog Vineyards,46009 Hotchkiss St Fremont CA 94539
Big Gun,1405 2nd Street Napa CA 94559
Big Table Farm,26851 NW Williams Canyon Road Gaston OR 97119
Big Table Wine,26851 NW Williams Canyon Road Gaston OR 97119
Big Wave Beverage Co,14531 Big Basin Way Suite 5 Saratoga CA 95070
Big White House,6800 Greenville Road Livermore CA 94550
Billsboro Winery,4760 West Lake Road (Ste Route 14) Geneva NY 14456
Biltmore Estate,Riverside Business Park 2000 Riverside Drive Asheville NC 28804
Bingham Family Vineyards & Farm,645 FM 303 Meadow TX 79345
Bink Wines,545 West I Street Benicia CA 94510
Birichino,204 Church St Santa Cruz CA 95060
Bishop's Vineyard,No address given.
Bittercube,2018 S 1st Street Milwaukee WI 53207
Bjornson Vineyard,3635 Bethel Heights Road NW Salem OR 97304
Bjorn Vineyards,No address given.
B. Kosuge Wines,PO Box 5413 Napa CA 94581
Black Ankle Vineyards,14463 Black Ankle Road Mt Airy MD 21771
Black Birch Vineyard,155 Glendale Road Southampton MA 01073
Blackbird Vineyards,604 Main St Napa CA 94559
Black Cat Vineyard,1352 Fourth Avenue Napa CA 94559
Black Cordon Vineyards,4155 Dry Creek Road Napa CA 94558
Black Goose Wines,6085 Lichau Road Penngrove CA 94951
Black Hand Cellars,Suite B 766 Main Street Cambria CA 93428
Black Heath Meadery,1313 Altamont Avenue Richmond VA 23230
Black Hill Farms,No address given.
Blackjack Ranch,2205 Alamo Pintado Road Solvang CA 93463
Black Mesa Winery,1502 Highway 68 Velarde NM 87582
Black Sheep Finds,No address given.
Black Sheep Winery,221 Main Street Murphys CA 95247
Black Snake Meadery,605 Buffalo Road Dugspur VA 24325
Black's Smuggler Winery,25 Winery Road Bosque NM 87006
Black Stallion Winery,4089 Silverado Trail Napa California 94558
Black Star Farms,10844 E. Revold Road Suttons Bay MI 49682
Black Walnut Winery,3000 Lincoln Highway Sadsburyville PA 19369
Black Willow Winery,5565 West Lake Road Burt NY 14028
Blagden Wines,318 Caledonia Street Sausalito CA 94965
Blair Estate,Suite 203 32 E. Alisal Street Salinas CA 93901
Blair Fox Cellars,P.O. Box 358 Los Olivos CA 93441
Blakeslee Vineyard Estate,20875 SW Chapman Road Sherwood OR 97140
Blanchard Family Wines,Suite 16 426 North Street Healdsburg CA 95448
Blenheim Vineyards,31 Blenheim Farm Charlottesville VA 22902
Bliss Vineyards,1400 Highway 175 Hopland CA 95449
Block 88,9838 Research Drive Irvine CA 92618.
Blue Bee Cider,212 W. 6th Street Richmond VA 23224
Blue Hall Vineyard,No address given.
Bluemont Vineyard,18755 Foggy Bottom Road Bluemont VA 20135
Blue Mountain Vineyards,7627 Grape Vine Drive New Tripoli PA 18066
Bluenose Wines,428 Hudson Street Healdsburg CA 95448 CA 95448
Blue Ostrich Winery & Vineyard,5611 Farm to Market 2382 Muenster TX 76265
Blue Rock Vineyard,75 Spring Lane Tiburon CA 94920
Blue Sky Vineyards,3150 South Rocky Comfort Road Makanda IL 62958
Bluestone Vineyard,4828 Spring Creek Road Bridgewater VA 22812
Blumenhof Winery,13699 South Highway 94 Dutzow MO 63342
Blustone Vineyards,780 N. Sylt Road Lake Leelanau MI 49653
Bluxome Street Winery,53 Bluxome Street San Francisco CA 94107
BNA Wine Group,1377 Main Street Suite 2 St Helena CA 94574
Boathouse Distillery,No address given.
Boathouse Vineyards,115 St Mary s Street Lake Leelanau MI 49653
BoaVentura Vineyard,9309 Tesla Road Livermore CA 94550
Boa Vista Orchards,2952 Carson Road Placerville CA 95667
BobDog Winery,31955 Pine Mountain Road Cloverdale CA 95425
Boccali Vineyards & Winery,3277 Ojai Santa Paula Road Ojai CA 93023
Bodega de Edgar,2725 Adelaida Road Paso Robles CA 93446
Bodega del Sur Winery,457 South Algiers Street Murphys CA 95247
Bodega Rancho,PO Box 538 St Helena CA 94574
Bodegas Paso Robles,149 Vine Street Paso Robles CA 93446
Bodkin Wines,1083 Vine Street Suite 135 Healdsburg CA 95448
Boeger Winery,1709 Carson Road Placerville CA 95667
Boete Winery,67 East Carmel Valley Road Carmel Valley CA 93924
Bogati Winery,905 Quarry Rd Berryville VA 22611
Boheme Wines,Suite A 6450 First Street Forestville CA 95436
Bohemian Vineyard,12620 Dupont Road Sebastopol CA 94945
Bokisch Vineyards,21 N. School Street Lodi CA 95240
Bomb Wines,3550 NW Bridge Farmer Road Gaston OR 97119
Bonaccorsi Wine Company,2705 Aviation Way Santa Maria CA 93455
Bonacquisti Wine Company,4640 Pecos St Unit I Denver CO 80211
Bon Affair Inc,27 West Anapamu St. #319 Santa Barbara CA 93101
Bonair Winery,500 S Bonair Road Zillah WA 98953
Bonded Winery Number 9,7830-40 St. Helena Highway Oakville CA 94562
Boneyard Wines,No address given.
Bonfire Wines,No address given.
Bon Niche Cellars,2627 Golden Eagle Way San Miguel CA 93451
Bonny Doon Vineyard,328 Ingalls Street Santa Cruz CA 95060
Bonobo Winery,12011 Center Road Traverse City MI 49686
Bonterra Vineyards,2231 McNab Ranch Road Ukiah CA 95482
Bontzu Cellars,1460 F Street Walla Walla WA 99362
Boordy Vineyards,12820 Long Green Pike Hydes Maryland 21082 Baltimore County
Bordeleau Vineyards & Winery,3155 Noble Farm Road Eden MD 21822
Borjon Winery,11270 Shenandoah Road Plymouth CA 95669
Botham Vineyards & Winery,8180 Langberry Road Barneveld WI 53507
Bottle Jack Winery,1088 La Madrona Drive Santa Cruz CA 95060
Bouchaine Vineyards,1075 Buchli Station Road Napa CA 94558
Boundary Breaks Vineyard,1428 Porter Covert Road Lodi NY 14860
Bouquet Wines USA,35 Cox Neck Road Mattituck NY 11952
Bourassa Vineyards,Suite 5 190 Camino Oruga Napa CA 94558
Boutier Winery,4506 Hudson River Church Road Danielsville GA 30633
Bowers Harbor Vineyards,2896 Bowers Harbor Road Traverse City MI 49686
Boyd & Blair,1101 William Flynn Hwy Glenshaw PA 15116
Boyden Valley Winery,64 Vermont Route 104 Cambridge VT 05444
Boyd Family Vineyard,4042 Big Ranch Road Napa CA 94558
Boyd's Cardinal Hollow Winery,1830 West Point Pike West Point PA 19486 North Wales
Boyle Macdonald,No address given.
Bracey Vineyards,No address given.
Bradley Vineyards,1000 Azalea Drive Elkton OR 97436
Brady Cellars,No address given.
Brandborg Vineyard & Winery,345 First Street Elkton OR 97436
Brandeberry Winery,5118 West Jackson Road Enon OH 45323
Branham Estate Wines,33 Arch Way Calistoga CA 94515
Brassfield Estate Winery,10915 High Valley Road Clearlake Oaks CA 95423
Brave & Maiden Estate,649 N Refugio Road Santa Ynez CA 93460
Bray Vineyards,10590 Shenandoah Road Plymouth CA 95669
B.R. Cohn Winery,15000 Sonoma Highway Glen Ellen CA 95442
Breathless Wines,4001 CA-128 Healdsburg CA 95441
Breaux Vineyards,36888 Breaux Vineyards Lane Purcellville VA 20132
Breckenridge Wines,No address given.
Brecon Estate,7450 Vineyard Drive Paso Robles CA 93446
Brella Wine,No address given.
Brennan Vineyards,802 South Austin Road Comanche TX 76442
Brian Arden Wines,331 Silverado Trail Calistoga CA 94515
Brian Benson Cellars,2985 Anderson Road Paso Robles CA 93446
Brian Carter Cellars,14419 Woodinville-Redmond Road Woodinville WA 98072
Briar Rose Winery,41720 Calle Cabrillo Temecula CA 92592
